,State,Year,Quater,User_count,AppOpens
0,puducherry,2018,1,49318,0
1,tamil nadu,2018,1,2104754,0
2,uttar pradesh,2018,1,4694250,0
3,madhya pradesh,2018,1,2553603,0
4,andhra pradesh,2018,1,3336450,0
5,tripura,2018,1,55157,0
6,lakshadweep,2018,1,501,0
7,manipur,2018,1,29925,0
8,maharashtra,2018,1,6106994,0
9,dadra & nagar haveli & daman & diu,2018,1,53258,0
10,meghalaya,2018,1,18513,0
11,andaman & nicobar islands,2018,1,6740,0
12,haryana,2018,1,1847357,0
13,rajasthan,2018,1,3158202,0
14,ladakh,2018,1,8784,0
15,punjab,2018,1,847142,0
16,assam,2018,1,385237,0
17,jharkhand,2018,1,885762,0
18,odisha,2018,1,1594015,0
19,bihar,2018,1,2133804,0
20,kerala,2018,1,784184,0
21,karnataka,2018,1,3717763,0
22,chandigarh,2018,1,86268,0
23,telangana,2018,1,3315560,0
24,himachal pradesh,2018,1,227373,0
25,west bengal,2018,1,2604789,0
26,gujarat,2018,1,2690048,0
27,sikkim,2018,1,20051,0
28,nagaland,2018,1,15074,0
29,mizoram,2018,1,7593,0
30,chhattisgarh,2018,1,679263,0
31,jammu & kashmir,2018,1,176425,0
32,goa,2018,1,91936,0
33,arunachal pradesh,2018,1,21495,0
34,delhi,2018,1,2087022,0
35,uttarakhand,2018,1,483043,0
36,puducherry,2018,2,65580,0
37,tamil nadu,2018,2,2996036,0
38,uttar pradesh,2018,2,6442554,0
39,madhya pradesh,2018,2,3441662,0
40,andhra pradesh,2018,2,4402540,0
41,tripura,2018,2,83369,0
42,lakshadweep,2018,2,686,0
43,manipur,2018,2,46055,0
44,maharashtra,2018,2,8222371,0
45,dadra & nagar haveli & daman & diu,2018,2,71458,0
46,meghalaya,2018,2,26618,0
47,andaman & nicobar islands,2018,2,9405,0
48,haryana,2018,2,2447221,0
49,rajasthan,2018,2,4212964,0
50,ladakh,2018,2,12918,0
51,punjab,2018,2,1152190,0
52,assam,2018,2,571046,0
53,jharkhand,2018,2,1230599,0
54,odisha,2018,2,2185781,0
55,bihar,2018,2,3005872,0
56,kerala,2018,2,1066587,0
57,karnataka,2018,2,5030665,0
58,chandigarh,2018,2,115219,0
59,telangana,2018,2,4260115,0
60,himachal pradesh,2018,2,315299,0
61,west bengal,2018,2,3833795,0
62,gujarat,2018,2,3565825,0
63,sikkim,2018,2,28097,0
64,nagaland,2018,2,22436,0
65,mizoram,2018,2,10422,0
66,chhattisgarh,2018,2,950675,0
67,jammu & kashmir,2018,2,261609,0
68,goa,2018,2,122174,0
69,arunachal pradesh,2018,2,32883,0
70,delhi,2018,2,2756141,0
71,uttarakhand,2018,2,649142,0
72,puducherry,2018,3,81546,0
73,tamil nadu,2018,3,3900177,0
74,uttar pradesh,2018,3,8096483,0
75,madhya pradesh,2018,3,4309309,0
76,andhra pradesh,2018,3,5427617,0
77,tripura,2018,3,116874,0
78,lakshadweep,2018,3,918,0
79,manipur,2018,3,61935,0
80,maharashtra,2018,3,10435033,0
81,dadra & nagar haveli & daman & diu,2018,3,92107,0
82,meghalaya,2018,3,37281,0
83,andaman & nicobar islands,2018,3,12149,0
84,haryana,2018,3,3020398,0
85,rajasthan,2018,3,5175453,0
86,ladakh,2018,3,17749,0
87,punjab,2018,3,1473148,0
88,assam,2018,3,784802,0
89,jharkhand,2018,3,1532362,0
90,odisha,2018,3,2795718,0
91,bihar,2018,3,3784535,0
92,kerala,2018,3,1347598,0
93,karnataka,2018,3,6372649,0
94,chandigarh,2018,3,143893,0
95,telangana,2018,3,5138501,0
96,himachal pradesh,2018,3,407634,0
97,west bengal,2018,3,4851740,0
98,gujarat,2018,3,4433183,0
99,sikkim,2018,3,37637,0
100,nagaland,2018,3,32090,0
101,mizoram,2018,3,14502,0
102,chhattisgarh,2018,3,1217792,0
103,jammu & kashmir,2018,3,342529,0
104,goa,2018,3,153802,0
105,arunachal pradesh,2018,3,45922,0
106,delhi,2018,3,3504911,0
107,uttarakhand,2018,3,810612,0
108,puducherry,2018,4,109494,0
109,tamil nadu,2018,4,5199878,0
110,uttar pradesh,2018,4,10341964,0
111,madhya pradesh,2018,4,5365442,0
112,andhra pradesh,2018,4,6857409,0
113,tripura,2018,4,153265,0
114,lakshadweep,2018,4,1156,0
115,manipur,2018,4,82589,0
116,maharashtra,2018,4,13381602,0
117,dadra & nagar haveli & daman & diu,2018,4,116511,0
118,meghalaya,2018,4,49634,0
119,andaman & nicobar islands,2018,4,15222,0
120,haryana,2018,4,3793079,0
121,rajasthan,2018,4,6358738,0
122,ladakh,2018,4,23883,0
123,punjab,2018,4,1865715,0
124,assam,2018,4,1039221,0
125,jharkhand,2018,4,1913949,0
126,odisha,2018,4,3623911,0
127,bihar,2018,4,4776665,0
128,kerala,2018,4,1757326,0
129,karnataka,2018,4,8315802,0
130,chandigarh,2018,4,177747,0
131,telangana,2018,4,6529679,0
132,himachal pradesh,2018,4,526343,0
133,west bengal,2018,4,6279278,0
134,gujarat,2018,4,5579040,0
135,sikkim,2018,4,48538,0
136,nagaland,2018,4,42997,0
