,State,Year,Quater,Transaction_count,Transaction_amount
0,maharashtra,2018,1,16387034,21711613257.725674
1,uttar pradesh,2018,1,12537805,13939970923.223106
2,karnataka,2018,1,12016899,19217895314.012802
3,west bengal,2018,1,11710225,10625978552.140453
4,andhra pradesh,2018,1,9039585,11996276391.823706
5,telangana,2018,1,8522766,13308204118.542435
6,madhya pradesh,2018,1,8025395,8681603403.446348
7,rajasthan,2018,1,7591690,8926293130.72684
8,delhi,2018,1,7122754,11211503806.91996
9,tamil nadu,2018,1,6726622,11261557697.516891
10,maharashtra,2018,2,22285740,36357057241.12254
11,west bengal,2018,2,18082446,18629183470.204285
12,uttar pradesh,2018,2,17710943,25720201695.701435
13,karnataka,2018,2,17116447,33515580081.29709
14,andhra pradesh,2018,2,12353918,22883914272.633617
15,telangana,2018,2,10764670,23017201517.652737
16,madhya pradesh,2018,2,10561412,15924081066.680984
17,tamil nadu,2018,2,9992128,20125844276.267662
18,rajasthan,2018,2,9973697,15559086175.759623
19,delhi,2018,2,9373723,17446299902.205147
20,west bengal,2018,3,53705416,41843934183.177635
21,maharashtra,2018,3,31538538,52260817733.24835
22,odisha,2018,3,30052155,23094515775.585762
23,uttar pradesh,2018,3,26515356,37012114369.23937
24,karnataka,2018,3,25980261,48225091755.80772
25,andhra pradesh,2018,3,25626061,35718044599.21416
26,telangana,2018,3,19332703,32030093209.72354
27,delhi,2018,3,18547048,27375846860.618515
28,madhya pradesh,2018,3,17126985,24149742204.673225
29,tamil nadu,2018,3,15774078,29330092241.18405
30,maharashtra,2018,4,46090223,79518937047.82959
31,karnataka,2018,4,44812071,73008386576.05942
32,west bengal,2018,4,36513548,40489619211.70402
33,uttar pradesh,2018,4,36100767,55096743575.91497
34,andhra pradesh,2018,4,30759548,51473779406.84041
35,delhi,2018,4,29187719,39722857618.706436
36,telangana,2018,4,28921154,49509088448.04927
37,tamil nadu,2018,4,22457444,43302073975.890976
38,madhya pradesh,2018,4,21397555,33905608072.964783
39,odisha,2018,4,21142798,23429869571.55922
40,karnataka,2019,1,86587609,117976382145.74966
41,maharashtra,2019,1,75079069,111420690920.33997
42,telangana,2019,1,65290702,95523262035.66321
43,uttar pradesh,2019,1,57324504,76524180134.0167
44,andhra pradesh,2019,1,57264522,83760595917.0792
45,west bengal,2019,1,47626388,50164672623.8785
46,delhi,2019,1,47007327,58469131789.49733
47,rajasthan,2019,1,43956040,61141158575.55252
48,madhya pradesh,2019,1,37301049,48070279522.042015
49,odisha,2019,1,34031942,35427127930.698456
50,karnataka,2019,2,115401604,163702024226.0841
51,maharashtra,2019,2,101149853,153294470088.05945
52,telangana,2019,2,89610379,155676443182.43457
53,uttar pradesh,2019,2,58883500,98917519370.67831
54,delhi,2019,2,57171512,81706816063.62862
55,andhra pradesh,2019,2,56409015,113634518758.22931
56,rajasthan,2019,2,50009286,89107313172.66756
57,west bengal,2019,2,47023535,57105691119.11844
58,madhya pradesh,2019,2,40846013,68334566380.56182
59,tamil nadu,2019,2,32171737,64207676025.75553
60,karnataka,2019,3,170733735,214536720438.18292
61,maharashtra,2019,3,148735581,199617506744.94272
62,telangana,2019,3,121495376,201930021130.42365
63,andhra pradesh,2019,3,76288614,139447944254.78943
