,State,Year,Quater,Transaction_count,Transaction_amount
0,puducherry,2018,1,104212,165825971.36983618
1,tamil nadu,2018,1,6726622,11261557697.516891
2,uttar pradesh,2018,1,12537805,13939970923.223106
3,madhya pradesh,2018,1,8025395,8681603403.446348
4,andhra pradesh,2018,1,9039585,11996276391.823706
5,tripura,2018,1,148157,137978914.53062224
6,lakshadweep,2018,1,778,1928611.1808777403
7,manipur,2018,1,84069,128046173.93020926
8,maharashtra,2018,1,16387034,21711613257.725674
9,dadra & nagar haveli & daman & diu,2018,1,148549,175658384.10921687
10,meghalaya,2018,1,49571,66250259.78990036
11,andaman & nicobar islands,2018,1,6658,14631761.22198579
12,haryana,2018,1,4480770,6793511514.660528
13,rajasthan,2018,1,7591690,8926293130.726837
14,ladakh,2018,1,6089,12532857.771114783
15,punjab,2018,1,1870433,2780758224.854389
16,assam,2018,1,1056881,1157804456.212469
17,jharkhand,2018,1,2178921,2374186389.9194
18,odisha,2018,1,5809821,4627632210.887628
19,bihar,2018,1,5824302,6045758172.017314
20,kerala,2018,1,1771380,2402674753.100502
21,karnataka,2018,1,12016899,19217895314.012802
22,chandigarh,2018,1,381895,613435420.8676233
23,telangana,2018,1,8522766,13308204118.542435
24,himachal pradesh,2018,1,481918,628737806.3723404
25,west bengal,2018,1,11710225,10625978552.140453
26,gujarat,2018,1,5948775,7577982255.034092
27,sikkim,2018,1,44078,64650938.94036834
28,nagaland,2018,1,42845,78005891.08612517
29,mizoram,2018,1,18561,45227219.975790836
30,chhattisgarh,2018,1,1891514,2149155557.2367463
31,jammu & kashmir,2018,1,941568,1005371239.2561305
32,goa,2018,1,160897,303856742.34308386
33,arunachal pradesh,2018,1,45497,92387336.00940911
34,delhi,2018,1,7122754,11211503806.91996
35,uttarakhand,2018,1,1246685,1508545358.5238864
36,puducherry,2018,2,130261,285801119.5324367
37,tamil nadu,2018,2,9992128,20125844276.267662
38,uttar pradesh,2018,2,17710943,25720201695.701435
39,madhya pradesh,2018,2,10561412,15924081066.680986
40,andhra pradesh,2018,2,12353918,22883914272.633617
41,tripura,2018,2,214559,236891718.7161358
42,lakshadweep,2018,2,2132,6187809.539400538
43,manipur,2018,2,151721,253209721.319494
44,maharashtra,2018,2,22285740,36357057241.12254
45,dadra & nagar haveli & daman & diu,2018,2,202626,302070771.6561514
46,meghalaya,2018,2,67857,117004667.8418316
47,andaman & nicobar islands,2018,2,11340,28338535.507953547
48,haryana,2018,2,6150931,11320414442.116663
49,rajasthan,2018,2,9973697,15559086175.75962
50,ladakh,2018,2,15010,47334902.5377415
51,punjab,2018,2,2581163,4684672212.007125
52,assam,2018,2,1663873,2350585135.537811
53,jharkhand,2018,2,3152080,4721575659.062912
54,odisha,2018,2,8158144,8488310339.620239
55,bihar,2018,2,8632378,13506131109.672922
56,kerala,2018,2,2308165,3886923343.44263
57,karnataka,2018,2,17116447,33515580081.29709
58,chandigarh,2018,2,479084,961223261.74473
59,telangana,2018,2,10764670,23017201517.652737
60,himachal pradesh,2018,2,687695,1183169301.3511178
61,west bengal,2018,2,18082446,18629183470.204285
62,gujarat,2018,2,7745733,12162684771.641388
63,sikkim,2018,2,74578,143693085.52979562
64,nagaland,2018,2,65599,153325577.88030174
65,mizoram,2018,2,27051,83508405.55773437
