,State,Year,Quater,User_count
0,maharashtra,2018,1,6106994
1,uttar pradesh,2018,1,4694250
2,karnataka,2018,1,3717763
3,andhra pradesh,2018,1,3336450
4,telangana,2018,1,3315560
5,rajasthan,2018,1,3158202
6,gujarat,2018,1,2690048
7,west bengal,2018,1,2604789
8,madhya pradesh,2018,1,2553603
9,bihar,2018,1,2133804
10,maharashtra,2018,2,8222371
11,uttar pradesh,2018,2,6442554
12,karnataka,2018,2,5030665
13,andhra pradesh,2018,2,4402540
14,telangana,2018,2,4260115
15,rajasthan,2018,2,4212964
16,west bengal,2018,2,3833795
17,gujarat,2018,2,3565825
18,madhya pradesh,2018,2,3441662
19,bihar,2018,2,3005872
20,maharashtra,2018,3,10435033
21,uttar pradesh,2018,3,8096483
22,karnataka,2018,3,6372649
23,andhra pradesh,2018,3,5427617
24,rajasthan,2018,3,5175453
25,telangana,2018,3,5138501
26,west bengal,2018,3,4851740
27,gujarat,2018,3,4433183
28,madhya pradesh,2018,3,4309309
29,tamil nadu,2018,3,3900177
30,maharashtra,2018,4,13381602
31,uttar pradesh,2018,4,10341964
32,karnataka,2018,4,8315802
33,andhra pradesh,2018,4,6857409
34,telangana,2018,4,6529679
35,rajasthan,2018,4,6358738
36,west bengal,2018,4,6279278
37,gujarat,2018,4,5579040
38,madhya pradesh,2018,4,5365442
39,tamil nadu,2018,4,5199878
40,maharashtra,2019,1,16284451
41,uttar pradesh,2019,1,12458661
42,karnataka,2019,1,10266174
43,andhra pradesh,2019,1,8283019
44,telangana,2019,1,7963425
45,rajasthan,2019,1,7712204
46,west bengal,2019,1,7449425
47,gujarat,2019,1,6652536
48,madhya pradesh,2019,1,6414403
49,tamil nadu,2019,1,6296303
50,maharashtra,2019,2,18776975
51,uttar pradesh,2019,2,14316349
52,karnataka,2019,2,11968087
53,andhra pradesh,2019,2,9389003
54,telangana,2019,2,9046007
55,rajasthan,2019,2,8783935
56,west bengal,2019,2,8612795
57,gujarat,2019,2,7574645
58,tamil nadu,2019,2,7429609
59,madhya pradesh,2019,2,7301172
60,maharashtra,2019,3,21313081
61,uttar pradesh,2019,3,16044607
62,karnataka,2019,3,13635075
63,andhra pradesh,2019,3,10458693
64,telangana,2019,3,10090557
65,rajasthan,2019,3,9797304
66,west bengal,2019,3,9643222
67,gujarat,2019,3,8429299
68,tamil nadu,2019,3,8428835
69,madhya pradesh,2019,3,8180664
70,maharashtra,2019,4,23745297
71,uttar pradesh,2019,4,17949542
72,karnataka,2019,4,15385416
73,andhra pradesh,2019,4,11757883
74,telangana,2019,4,11220691
75,rajasthan,2019,4,10925031
76,west bengal,2019,4,10885058
77,tamil nadu,2019,4,9620493
78,gujarat,2019,4,9323799
79,madhya pradesh,2019,4,9165241
80,maharashtra,2020,1,26168390
81,uttar pradesh,2020,1,20136256
82,karnataka,2020,1,17016980
83,andhra pradesh,2020,1,13022060
84,telangana,2020,1,12306860
85,rajasthan,2020,1,12142053
86,west bengal,2020,1,11960822
87,tamil nadu,2020,1,10872368
88,gujarat,2020,1,10259843
89,madhya pradesh,2020,1,10151371
90,maharashtra,2020,2,28765086
91,uttar pradesh,2020,2,22498519
92,karnataka,2020,2,18655366
93,andhra pradesh,2020,2,14319675
94,rajasthan,2020,2,13563201
95,telangana,2020,2,13378191
96,west bengal,2020,2,13222022
97,tamil nadu,2020,2,12150786
98,gujarat,2020,2,11392657
99,madhya pradesh,2020,2,11374423
100,maharashtra,2020,3,31409513
101,uttar pradesh,2020,3,24838116
102,karnataka,2020,3,20487550
103,andhra pradesh,2020,3,15692405
104,rajasthan,2020,3,14969412
105,telangana,2020,3,14590882
106,west bengal,2020,3,14448366
