,State,Year,Quater,District_name,User_count
0,andaman-&-nicobar-islands,2018,1,south andaman,5846
1,andaman-&-nicobar-islands,2018,2,south andaman,8143
2,andaman-&-nicobar-islands,2018,3,south andaman,10474
3,andaman-&-nicobar-islands,2018,4,south andaman,13133
4,andaman-&-nicobar-islands,2019,1,south andaman,15961
5,andaman-&-nicobar-islands,2019,2,south andaman,18621
6,andaman-&-nicobar-islands,2019,3,south andaman,20518
7,andaman-&-nicobar-islands,2019,4,south andaman,22202
8,andaman-&-nicobar-islands,2020,1,south andaman,24174
9,andaman-&-nicobar-islands,2020,2,south andaman,27626
10,andaman-&-nicobar-islands,2020,3,south andaman,34833
11,andaman-&-nicobar-islands,2020,4,south andaman,43908
12,andaman-&-nicobar-islands,2021,1,south andaman,48352
13,andaman-&-nicobar-islands,2021,2,south andaman,51903
14,andaman-&-nicobar-islands,2021,3,south andaman,55873
15,andaman-&-nicobar-islands,2021,4,south andaman,59807
16,andaman-&-nicobar-islands,2022,1,south andaman,63487
17,andaman-&-nicobar-islands,2022,2,south andaman,66959
18,andaman-&-nicobar-islands,2022,3,south andaman,70445
19,andaman-&-nicobar-islands,2022,4,south andaman,73692
20,andhra-pradesh,2018,1,visakhapatnam,497187
21,andhra-pradesh,2018,2,visakhapatnam,636052
22,andhra-pradesh,2018,3,visakhapatnam,769096
23,andhra-pradesh,2018,4,visakhapatnam,978288
24,andhra-pradesh,2019,1,visakhapatnam,1174517
25,andhra-pradesh,2019,2,visakhapatnam,1318740
26,andhra-pradesh,2019,3,visakhapatnam,1460464
27,andhra-pradesh,2019,4,visakhapatnam,1620235
28,andhra-pradesh,2020,1,visakhapatnam,1763581
29,andhra-pradesh,2020,2,visakhapatnam,1904719
30,andhra-pradesh,2020,3,visakhapatnam,2058346
31,andhra-pradesh,2020,4,visakhapatnam,2209658
32,andhra-pradesh,2021,1,visakhapatnam,2368081
33,andhra-pradesh,2021,2,visakhapatnam,2526830
34,andhra-pradesh,2021,3,visakhapatnam,2707931
35,andhra-pradesh,2021,4,visakhapatnam,2888774
36,andhra-pradesh,2022,1,visakhapatnam,3061324
37,andhra-pradesh,2022,2,visakhapatnam,3226029
38,andhra-pradesh,2022,3,visakhapatnam,3397514
39,andhra-pradesh,2022,4,visakhapatnam,3566854
40,arunachal-pradesh,2018,1,papum pare,7649
